School.Name,Family.Income.Tercile,MN_EARN_WNE_INC_P10
Rochester Institute of Technology,Highest Income Tercile,70800
Skidmore College,Highest Income Tercile,56300
Siena College,Highest Income Tercile,64300
Binghamton University,Highest Income Tercile,71400
Stony Brook University,Highest Income Tercile,64200
Union College,Highest Income Tercile,79100
Vassar College,Highest Income Tercile,63700
Appalachian State University,Highest Income Tercile,46100
Davidson College,Highest Income Tercile,72000
East Carolina University,Highest Income Tercile,48200
University of North Carolina at Chapel Hill,Highest Income Tercile,70100
University of North Carolina at Charlotte,Highest Income Tercile,51700
Western Carolina University,Highest Income Tercile,41600
University of North Dakota,Highest Income Tercile,57500
Cleveland State University,Highest Income Tercile,50700
Denison University,Highest Income Tercile,59600
Oberlin College,Highest Income Tercile,44200
University of Toledo,Highest Income Tercile,55700
Wittenberg University,Highest Income Tercile,52100
Lewis and Clark College,Highest Income Tercile,52300
Oregon State University,Highest Income Tercile,58400
Portland State University,Highest Income Tercile,54000
Reed College,Highest Income Tercile,46500
University of Oregon,Highest Income Tercile,54000
Bucknell University,Highest Income Tercile,84400
Carnegie Mellon University,Highest Income Tercile,99300
Franklin and Marshall College,Highest Income Tercile,72000
Gettysburg College,Highest Income Tercile,68000
Juniata College,Highest Income Tercile,56200
Lafayette College,Highest Income Tercile,83000
Moravian College,Highest Income Tercile,55800
Swarthmore College,Highest Income Tercile,80000
University of Pennsylvania,Highest Income Tercile,152000
Ursinus College,Highest Income Tercile,64200
Brown University,Highest Income Tercile,91700
University of Rhode Island,Highest Income Tercile,63300
Clemson University,Highest Income Tercile,60600
Austin Peay State University,Highest Income Tercile,42800
University of Memphis,Highest Income Tercile,48600
Tennessee Technological University,Highest Income Tercile,50800
Lamar University,Highest Income Tercile,53800
Tarleton State University,Highest Income Tercile,49900
University of Utah,Highest Income Tercile,58800
Utah State University,Highest Income Tercile,48400
Southern Utah University,Highest Income Tercile,44500
Middlebury College,Highest Income Tercile,78700
University of Vermont,Highest Income Tercile,55100
Randolph-Macon College,Highest Income Tercile,54800
Virginia Commonwealth University,Highest Income Tercile,49700
University of Richmond,Highest Income Tercile,81600
George Mason University,Highest Income Tercile,62900
Virginia Polytechnic Institute and State University,Highest Income Tercile,68600
Washington and Lee University,Highest Income Tercile,88100
Eastern Washington University,Highest Income Tercile,46600
University of Puget Sound,Highest Income Tercile,59000
Washington State University,Highest Income Tercile,59100
Western Washington University,Highest Income Tercile,53000
Whitman College,Highest Income Tercile,64700
University of Wyoming,Highest Income Tercile,55500
University of Central Florida,Highest Income Tercile,53000
Florida International University,Highest Income Tercile,54900
